,id,retweet_count,favorite_count
6511,844223788422217728,2396,14483
6512,843981021012017153,3195,16045
6513,843856843873095681,5065,22763
6514,843604394117681152,2993,17957
6515,843235543001513987,6628,22871
6516,842846295480000512,3923,16176
6517,842765311967449089,1401,7185
6518,842535590457499648,3830,19258
6519,842163532590374912,6356,26103
6520,842115215311396866,3311,14926
6521,841833993020538882,16911,0
6522,841680585030541313,8502,27309
6523,841439858740625411,4037,13480
6524,841320156043304961,5949,21051
6525,841314665196081154,5165,16948
6526,841077006473256960,5821,24457
6527,840761248237133825,1925,0
6528,840728873075638272,17778,0
6529,840698636975636481,3,195
6530,840696689258311684,1085,13133
6531,840632337062862849,1925,9584
6532,840370681858686976,5011,17585
6533,840268004936019968,6303,20584
6534,839990271299457024,2531,14353
6535,839549326359670784,8558,29429
6536,839290600511926273,154,0
6537,839239871831150596,7208,29083
6538,838952994649550848,4390,20980
6539,838921590096166913,2284,11946
6540,838916489579200512,37,0
6541,838831947270979586,12217,0
6542,838561493054533637,1465,11668
6543,838476387338051585,5320,24210
6544,838201503651401729,11177,0
6545,838150277551247360,357,1794
6546,838085839343206401,0,149
6547,838083903487373313,3468,18865
6548,837820167694528512,8685,36603
6549,837482249356513284,487,4117
6550,837471256429613056,2552,13725
6551,837366284874571778,5843,22631
6552,837110210464448512,2649,17143
6553,836989968035819520,2537,13630
6554,836753516572119041,5095,20617
6555,836677758902222849,2450,13513
6556,836648853927522308,608,0
6557,836397794269200385,30476,0
6558,836380477523124226,3243,15769
6559,836260088725786625,4733,22760
6560,836001077879255040,4772,20492
6561,835685285446955009,9053,0
6562,835574547218894849,4010,19102
6563,835536468978302976,1881,0
6564,835309094223372289,23294,0
6565,835297930240217089,3303,17569
6566,835264098648616962,1881,8333
6567,835246439529840640,81,2236
6568,835172783151792128,6360,28024
6569,835152434251116546,3355,24109
6570,834931633769889797,1825,11626
6571,834786237630337024,6038,22635
6572,834574053763584002,2805,14717
6573,834477809192075265,11818,0
6574,834458053273591808,1854,10321
6575,834209720923721728,5308,22130
6576,834167344700198914,4022,16901
6577,834089966724603904,2357,10783
6578,834086379323871233,2454,14026
6579,833863086058651648,2665,14398
6580,833826103416520705,3812,16467
6581,833732339549220864,241,0
6582,833722901757046785,3551,22201
6583,833479644947025920,2289,15967
6584,833124694597443584,5377,21722
6585,832998151111966721,2456,14303
6586,832769181346996225,42,0
6587,832757312314028032,4018,18094
6588,832682457690300417,3269,12778
6589,832645525019123713,577,3138
6590,832636094638288896,3109,17064
6591,832397543355072512,2474,12866
6592,832369877331693569,3538,18458
6593,832273440279240704,2595,12152
6594,832215909146226688,6877,0
6595,832215726631055365,10414,0
6596,832088576586297345,2,72
6597,832040443403784192,10814,0
6598,832032802820481025,5182,19236
6599,831939777352105988,6834,25855
6600,831926988323639298,36,367
6601,831911600680497154,7260,29791
6602,831670449226514432,2014,11245
6603,831650051525054464,2169,7734
6604,831552930092285952,2556,9702
6605,831322785565769729,1697,9875
6606,831315979191906304,1236,7000
6607,831309418084069378,2710,12598
6608,831262627380748289,2284,12827
6609,830956169170665475,1677,8586
6610,830583320585068544,18764,72111
6611,830173239259324417,6356,0
6612,830097400375152640,3350,10597
6613,829878982036299777,5592,0
6614,829861396166877184,2186,13200
6615,829501995190984704,11818,34223
6616,829449946868879360,2265,11304
6617,829374341691346946,10391,37378
6618,829141528400556032,8266,26455
6619,829011960981237760,18092,57179
6620,828801551087042563,3791,0
6621,828770345708580865,6556,27589
6622,828708714936930305,12505,39515
6623,828650029636317184,1498,10270
6624,828409743546925057,1280,6778
6625,828408677031882754,1429,8255
6626,828381636999917570,2482,13628
6627,828376505180889089,1185,7987
6628,828372645993398273,3263,13525
6629,828361771580813312,191,2369
6630,828046555563323392,3186,12712
6631,828011680017821696,2391,11181
6632,827933404142436356,5838,21779
6633,827653905312006145,3347,16692
6634,827600520311402496,1053,8016
6635,827324948884643840,3416,17167
6636,827199976799354881,2505,11443
6637,826958653328592898,5592,23344
6638,826848821049180160,11481,39510
6639,826615380357632002,4400,0
6640,826598799820865537,285,5533
6641,826598365270007810,2624,10891
6642,826476773533745153,4688,19923
6643,826240494070030336,2890,14345
6644,826204788643753985,1048,5273
6645,826115272272650244,3500,16972
6646,825876512159186944,2092,11323
6647,825829644528148480,2782,13777
6648,825535076884762624,19239,56302
6649,825147591692263424,5116,19819
6650,825120256414846976,1441,0
6651,825026590719483904,1441,6896
6652,824796380199809024,6138,0
6653,824775126675836928,3946,16222
6654,824663926340194305,1941,10911
6655,824325613288833024,11608,12772
6656,824297048279236611,4325,16289
6657,824025158776213504,664,5167
6658,823939628516474880,3033,11539
6659,823719002937630720,12617,0
6660,823699002998870016,2703,13624
6661,823581115634085888,2967,14130
6662,823333489516937216,29,758
6663,823322678127919110,4514,17092
6664,823269594223824897,11064,0
6665,822975315408461824,3859,18781
6666,822872901745569793,49259,143667
6667,822859134160621569,2559,14318
6668,822647212903690241,7184,0
6669,822610361945911296,3322,16007
6670,822489057087389700,7184,19705
6671,822462944365645825,16594,31107
6672,822244816520155136,11064,38054
6673,822163064745328640,5413,0
6674,821886076407029760,2630,12349
6675,821813639212650496,3747,0
6676,821765923262631936,1863,9161
6677,821522889702862852,1980,8705
6678,821421320206483457,6274,0
6679,821407182352777218,4898,12811
6680,821153421864615936,10,276
6681,821149554670182400,2262,9504
6682,821107785811234820,2396,10441
6683,821044531881721856,2569,13740
6684,820837357901512704,7511,0
6685,820749716845686786,11177,34325
6686,820690176645140481,3624,13285
6687,820494788566847489,632,0
6688,820446719150292993,2902,0
6689,820314633777061888,632,3630
6690,820078625395449857,7057,21531
6691,820013781606658049,1328,0
6692,819952236453363712,1328,5798
6693,819924195358416896,5449,14003
6694,819711362133872643,3523,14626
6695,819588359383371776,2214,10399
6696,819347104292290561,1348,7852
6697,819238181065359361,453,2493
6698,819227688460238848,7511,25144
6699,819015337530290176,41108,0
6700,819015331746349057,21208,0
6701,819006400881917954,21208,49071
6702,819004803107983360,41108,93844
6703,818646164899774465,23422,0
6704,818627210458333184,8358,24156
6705,818614493328580609,2903,10739
6706,818588835076603904,6931,0
6707,818536468981415936,2785,11895
6708,818307523543449600,9130,0
6709,818259473185828864,2560,11984
6710,818145370475810820,2921,13395
6711,817908911860748288,888,5259
6712,817827839487737858,30476,56522
6713,817777686764523521,2997,11649
6714,817536400337801217,3412,12851
6715,817502432452313088,3813,0
6716,817423860136083457,16911,37370
6717,817415592588222464,1082,6119
6718,817181837579653120,9578,0
6719,817171292965273600,2258,9503
6720,817120970343411712,2946,13219
6721,817056546584727552,1858,9336
6722,816829038950027264,5318,0
6723,816816676327063552,2297,10888
6724,816697700272001025,2476,10679
6725,816450570814898180,9130,33336
6726,816336735214911488,2202,9383
6727,816091915477250048,2425,9727
6728,816062466425819140,1180,0
6729,816014286006976512,5987,0
6730,815990720817401858,1180,5442
6731,815966073409433600,9578,24525
6732,815745968457060357,4647,0
6733,815736392542261248,2550,10721
6734,815639385530101762,1855,8972
6735,815390420867969024,4282,11262
6736,814986499976527872,1460,8325
6737,814638523311648768,3052,12293
6738,814578408554463233,6558,0
6739,814530161257443328,2092,9457
6740,814153002265309185,9797,31375
6741,813944609378369540,3635,0
6742,813910438903693312,2121,10132
6743,813812741911748608,15802,39657
6744,813800681631023104,1992,9116
6745,813217897535406080,8223,20393
6746,813202720496779264,2029,10005
6747,813187593374461952,4923,21669
6748,813172488309972993,2168,10196
6749,813157409116065792,2494,8449
6750,813142292504645637,2656,9185
6751,813130366689148928,498,4872
6752,813127251579564032,3540,12970
6753,813112105746448384,3117,11286
6754,813096984823349248,4081,11490
6755,813081950185472002,3124,10790
6756,813066809284972545,2192,8689
6757,813051746834595840,8249,22872
6758,812781120811126785,2153,8261
6759,812747805718642688,7845,0
6760,812709060537683968,1612,7234
6761,812503143955202048,1382,6653
6762,812466873996607488,2173,8735
6763,812372279581671427,4141,14958
6764,811985624773361665,1588,7947
6765,811744202451197953,1822,8254
6766,811647686436880384,836,6090
6767,811627233043480576,3538,14002
6768,811386762094317568,7225,22832
6769,810984652412424192,1611,5837
6770,810896069567610880,2022,9887
6771,810657578271330305,2981,11988
6772,810284430598270976,12945,38805
6773,810254108431155201,3791,16063
6774,809920764300447744,4400,16922
6775,809808892968534016,5550,0
6776,809448704142938112,1660,7576
6777,809220051211603969,6356,21804
6778,809084759137812480,3953,14439
6779,808838249661788160,3432,11042
6780,808733504066486276,2442,8636
6781,808501579447930884,2924,12335
6782,808344865868283904,23422,46468
6783,808134635716833280,6742,0
6784,808106460588765185,2460,9533
6785,808001312164028416,3990,13750
6786,807621403335917568,4158,15959
6787,807106840509214720,61264,123232
6788,807059379405148160,8288,0
6789,807010152071229440,4303,14257
6790,806629075125202948,39568,82375
6791,806620845233815552,6234,0
6792,806576416489959424,2178,5291
6793,806542213899489280,2681,11168
6794,806242860592926720,13226,0
6795,806219024703037440,1356,7008
6796,805958939288408065,6063,0
6797,805932879469572096,2145,9032
6798,805826884734976000,2068,7189
6799,805823200554876929,9109,0
6800,805520635690676224,1870,6266
6801,805487436403003392,2857,9586
6802,805207613751304193,1919,8512
6803,804738756058218496,4351,15042
6804,804475857670639616,2273,6743
6805,804413760345620481,3631,0
6806,804026241225523202,18331,48828
6807,803773340896923648,3129,11003
6808,803692223237865472,8415,0
6809,803638050916102144,4688,12023
6810,803380650405482500,2101,8472
6811,803321560782307329,6037,0
6812,803276597545603072,2791,10985
6813,802952499103731712,2267,9886
6814,802624713319034886,3309,0
6815,802600418706604034,1659,7799
6816,802572683846291456,2836,9790
6817,802323869084381190,6613,17785
6818,802265048156610565,1537,6936
6819,802239329049477120,2942,9930
6820,802185808107208704,305,0
6821,801958328846974976,1930,8453
6822,801854953262350336,262,1924
6823,801538201127157760,2327,8962
6824,801285448605831168,936,6648
6825,801167903437357056,6742,26868
6826,801127390143516673,4498,0
6827,801115127852503040,2361,8839
6828,800859414831898624,109,757
6829,800855607700029440,1840,0
6830,800751577355128832,3129,11491
6831,800513324630806528,3400,14401
6832,800459316964663297,2424,10348
6833,800443802682937345,4902,0
6834,800388270626521089,3161,12213
6835,800188575492947969,4451,0
6836,800141422401830912,2902,16761
6837,800018252395122689,14919,31123
6838,799774291445383169,5319,0
6839,799757965289017345,2443,9210
6840,799422933579902976,2156,8806
6841,799308762079035393,6278,0
6842,799297110730567681,3145,10862
6843,799063482566066176,2784,8855
6844,798933969379225600,5069,14431
6845,798925684722855936,1622,8127
6846,798705661114773508,7495,0
6847,798701998996647937,8850,0
6848,798697898615730177,7373,0
6849,798694562394996736,5636,0
6850,798686750113755136,2626,0
6851,798682547630837760,5364,0
6852,798673117451325440,6302,0
6853,798665375516884993,4408,0
6854,798644042770751489,2092,0
6855,798628517273620480,2219,0
6856,798585098161549313,6465,0
6857,798576900688019456,6670,0
6858,798340744599797760,3812,0
6859,798209839306514432,2883,11358
6860,797971864723324932,3561,12774
6861,797545162159308800,5489,15902
6862,797236660651966464,7497,21918
6863,797165961484890113,32,253
6864,796904159865868288,10101,0
6865,796865951799083009,2145,8405
6866,796759840936919040,3467,13014
6867,796563435802726400,8292,0
